"Landcover","Tau","Coefficient","Value","Std.Error","CI_Lower","CI_Upper","P"
"total_bog",0.9,"(Intercept)",0.0233992500457074,0.0567718278002324,-0.090688009268205,0.13748650935962,0.682017560856145
"total_bog",0.9,"BUI.mean",0.00052669751643601,9.66786621540834e-05,0.000332414471012381,0.00072098056185964,1.63822359606357e-06
"total_bog",0.9,"ISI.mean",0.00399584525495699,0.000407021247396737,0.00317790543520305,0.00481378507471092,3.69960961265673e-13
"total_permafrost",0.5,"(Intercept)",0.00763286841673291,0.0041875363265044,-0.000782300889589473,0.0160480377230553,0.0744443587660334
"total_permafrost",0.5,"BUI.mean",-7.91071201808105e-05,3.73921826600278e-05,-0.000154249524516616,-3.96471584500529e-06,0.0394853035686152
"total_permafrost",0.5,"ISI.mean",0.000833807104404705,0.0002356402985505,0.000360270195567879,0.00130734401324153,0.000892072527685995
"total_permafrost",0.9,"(Intercept)",0.00825236794472221,0.00417196365578282,-0.000131506908142114,0.0166362427975865,0.0535599911287992
"total_permafrost",0.9,"BUI.mean",0.000185452583238974,3.37484410224998e-05,0.000117632551868442,0.000253272614609506,1.38865983999312e-06
"total_permafrost",0.9,"ISI.mean",0.00362666694943961,0.00032496662279183,0.00297362207138363,0.00427971182749559,4.64923585164764e-15
"total_poor_fen",0.5,"(Intercept)",0.0189888988876381,0.00539389461602432,0.00814946183559091,0.0298283359396853,0.000941777084563248
"total_poor_fen",0.5,"BUI.mean",8.84537681905231e-06,5.05125773269635e-05,-9.26634477407895e-05,0.000110354201378894,0.861712946251164
"total_poor_fen",0.5,"ISI.mean",0.000259957038137746,0.000277562167936278,-0.000297825021310906,0.000817739097586398,0.353571905797695
"total_poor_fen",0.9,"(Intercept)",0.0191819706633295,0.0183206971295599,-0.0176348486151788,0.0559987899418377,0.300231868605044
"total_poor_fen",0.9,"BUI.mean",0.000459100086778406,6.30619440229041e-05,0.000332372365664748,0.000585827807892064,2.44498851914706e-09
"total_poor_fen",0.9,"ISI.mean",0.00105029393322686,0.00031549901039121,0.000416274934605904,0.00168431293184782,0.00166082142498989
"total_rich_fen",0.5,"(Intercept)",0.0125581930360624,0.0026391192885352,0.00725468426599194,0.0178617018061329,1.76167945539062e-05
"total_rich_fen",0.5,"BUI.mean",-0.000108341549633963,2.14986351008571e-05,-0.000151544674364723,-6.51384249032029e-05,6.75581770800344e-06
"total_rich_fen",0.5,"ISI.mean",0.00100139612408081,0.000288173075968847,0.000422290646606455,0.00158050160155517,0.00107909990156222
"total_rich_fen",0.9,"(Intercept)",0.0127004664228212,0.00348749590369652,0.00569208101516303,0.0197088518304794,0.000652349064896509
"total_rich_fen",0.9,"BUI.mean",0.000268467964696935,2.43885736935406e-05,0.000219457290933494,0.000317478638460376,7.54850172666554e-15
"total_rich_fen",0.9,"ISI.mean",0.00161495797202595,0.000273360079346793,0.00106562032575095,0.00216429561830095,3.24485680579642e-07
"treed_bog",0.5,"(Intercept)",0.0127969310949725,0.0549513038186803,-0.0976318483070128,0.123225710496958,0.816826446975129
"treed_bog",0.5,"BUI.mean",-0.000535583807696279,0.00153350170941606,-0.00361727086903415,0.00254610325364159,0.72839405119741
"treed_bog",0.5,"ISI.mean",0.00589583058451922,0.00260125822802307,0.00066840646410538,0.0111232547049331,0.0278691098406543
"treed_bog",0.9,"(Intercept)",0.0128102728608125,0.052496237475359,-0.0926848660121248,0.11830541173375,0.808232117777988
"treed_bog",0.9,"BUI.mean",0.000199385233919763,0.000908239359016899,-0.00162579009134673,0.00202456055918626,0.827149649324742
"treed_bog",0.9,"ISI.mean",0.00592746998763333,0.00206835342333794,0.00177095816646191,0.0100839818088048,0.00611262272045502
"treed_permafrost",0.5,"(Intercept)",0.0024405362722443,0.00786463603481236,-0.0133640415523489,0.0182451140968375,0.757635417117014
"treed_permafrost",0.5,"BUI.mean",-5.33086296423008e-05,9.70637437521464e-05,-0.000248365525509672,0.000141748266225071,0.585353898662255
"treed_permafrost",0.5,"ISI.mean",0.00131207361578099,0.000774739632639504,-0.000244823965193962,0.00286897119675594,0.0966963317126932
"treed_permafrost",0.9,"(Intercept)",0.00319420316002931,0.00986839257319182,-0.0166370741853271,0.0230254805053857,0.747557670816834
"treed_permafrost",0.9,"BUI.mean",0.000280748293297745,0.000119757580501625,4.00864250631676e-05,0.000521410161532322,0.0231605099901345
"treed_permafrost",0.9,"ISI.mean",0.00599223326514229,0.000655791667109166,0.00467437057020401,0.00731009596008057,3.68279110057838e-12
"treed_poor_fen",0.5,"(Intercept)",0.0242260804098121,0.0111825917307374,0.00175382098079601,0.0466983398388281,0.0351719381182182
"treed_poor_fen",0.5,"BUI.mean",-0.000116125112855379,8.93929923228894e-05,-0.000295767056600341,6.35168308895842e-05,0.200009647952009
"treed_poor_fen",0.5,"ISI.mean",0.000290539710095276,0.000908519152525698,-0.00153519788127801,0.00211627730146856,0.750483472165917
"treed_poor_fen",0.9,"(Intercept)",0.0242316574254665,0.0134216336887298,-0.00274012527722459,0.0512034401281575,0.0771548778138795
"treed_poor_fen",0.9,"BUI.mean",0.000343903748318148,0.000112330407725681,0.000118167342575988,0.000569640154060308,0.00356938126439601
"treed_poor_fen",0.9,"ISI.mean",0.000333925355704185,0.000727935123159775,-0.00112891504203432,0.00179676575344269,0.648456716294516
"treed_rich_fen",0.5,"(Intercept)",0.0244814186519468,0.00854242555964122,0.0073147717822719,0.0416480655216217,0.00611145137326432
"treed_rich_fen",0.5,"BUI.mean",-0.000144628413517659,7.57569095336267e-05,-0.000296867622957875,7.61079592255694e-06,0.0621127761399945
"treed_rich_fen",0.5,"ISI.mean",0.000236749006138027,0.000756930095761065,-0.00128435897054127,0.00175785698281733,0.755778761672857
"treed_rich_fen",0.9,"(Intercept)",0.0245001397480873,0.0104833418818388,0.00343307549998427,0.0455672039961903,0.0235672545300114
"treed_rich_fen",0.9,"BUI.mean",0.000406803365284597,8.43421706289525e-05,0.000237311427742925,0.000576295302826269,1.4143826845298e-05
"treed_rich_fen",0.9,"ISI.mean",0.000319198704532036,0.00100217491629046,-0.00169474719051735,0.00233314459958142,0.751454818276121
"upland",0.5,"(Intercept)",0.0153025640435313,0.0055362121904854,0.00417712911803877,0.0264279989690237,0.00802087638244246
"upland",0.5,"BUI.mean",-0.000110170020513399,5.95051810681389e-05,-0.000229750158868823,9.41011784202446e-06,0.0701380180094904
"upland",0.5,"ISI.mean",0.000634102177195855,0.000232740309339962,0.000166393014864468,0.00110181133952724,0.00890204280448725
"upland",0.9,"(Intercept)",0.0155244124608979,0.0046173591000438,0.00624548195251654,0.0248033429692793,0.00150695126969458
"upland",0.9,"BUI.mean",0.000529334384295164,4.85119472483856e-05,0.000431845976399889,0.00062682279219044,1.02805702010039e-14
"upland",0.9,"ISI.mean",0.00129075928357493,0.00022681056947638,0.000834966379636015,0.00174655218751384,6.980984490899e-07
