"Landcover","Tau","Coefficient","Value","Std.Error","CI_Lower","CI_Upper","P"
"forested_bog",0.5,"(Intercept)",0.0193878250202441,0.00531936932078664,0.00869815215604627,0.0300774978844419,0.00064631387598049
"forested_bog",0.5,"BUI.mean",0.000112683289073174,8.34569158601594e-05,-5.50296624065805e-05,0.000280396240552929,0.183156631582614
"forested_bog",0.5,"ISI.mean",0.000850565143232209,0.000608165734709353,-0.000371589657310218,0.00207271994377464,0.16823818062882
"forested_bog",0.9,"(Intercept)",0.0194757221765204,0.022817892700835,-0.0263785499585496,0.0653299943115905,0.397519623784818
"forested_bog",0.9,"BUI.mean",0.000503272160271246,0.000111816080862276,0.000278569333057576,0.000727974987484916,4.18014874240101e-05
"forested_bog",0.9,"ISI.mean",0.00130739780985021,0.000648804897605253,3.57555389451816e-06,0.00261122006580589,0.0493990616438911
"forested_permafrost",0.5,"(Intercept)",0.00718584976314706,0.00442065976753454,-0.00169779863746385,0.016069498163758,0.110468295178506
"forested_permafrost",0.5,"BUI.mean",-7.63386204932872e-05,4.19286447258995e-05,-0.000160597386660844,7.92014567426987e-06,0.0747650830247769
"forested_permafrost",0.5,"ISI.mean",0.000843219731329612,0.000317006069980769,0.000206172183076601,0.00148026727958262,0.0105323072234222
"forested_permafrost",0.9,"(Intercept)",0.00742438781281324,0.00501806767863333,-0.0026597967324069,0.0175085723580334,0.145399268507808
"forested_permafrost",0.9,"BUI.mean",0.00030861623286166,4.30121875444302e-05,0.000222180005877615,0.000395052459845706,3.55405997871289e-09
"forested_permafrost",0.9,"ISI.mean",0.00198151641508931,0.000367959918100139,0.00124207327541917,0.00272095955475946,2.03987002417317e-06
"forested_poor_fen",0.5,"(Intercept)",0.0238746059510683,0.00669418502924735,0.0104221374835315,0.037327074418605,0.00081983390660144
"forested_poor_fen",0.5,"BUI.mean",6.39335134040344e-06,5.39034290349282e-05,-0.000101929644844541,0.000114716347525348,0.906071226759734
"forested_poor_fen",0.5,"ISI.mean",-5.68059090596528e-05,0.000301883453541669,-0.000663463421796046,0.000549851603676741,0.851519225726134
"forested_poor_fen",0.9,"(Intercept)",0.0239572828241512,0.0554899822042502,-0.0875540113222521,0.135468576970554,0.667823730444573
"forested_poor_fen",0.9,"BUI.mean",0.000521790269164899,6.77075727295617e-05,0.000385726807641445,0.000657853730688353,5.38274077947495e-10
"forested_poor_fen",0.9,"ISI.mean",0.000149887288982076,0.000339423431608256,-0.000532209634079306,0.000831984212043457,0.660725842488535
"forested_rich_fen",0.5,"(Intercept)",0.0165697047541637,0.00331285072879318,0.00991228196527538,0.023227127543052,7.69257428944208e-06
"forested_rich_fen",0.5,"BUI.mean",-5.42328049764734e-05,3.55514563343443e-05,-0.000125676131269853,1.72105213169062e-05,0.133570248146832
"forested_rich_fen",0.5,"ISI.mean",0.000643295501418979,0.000279268924086492,8.20835870750382e-05,0.00120450741576292,0.0255340502641835
"forested_rich_fen",0.9,"(Intercept)",0.0166749917756812,0.00325153735218026,0.010140782830139,0.0232092007212234,4.97417211151899e-06
"forested_rich_fen",0.9,"BUI.mean",0.000379380887120104,3.22105464577291e-05,0.000314651370584251,0.000444110403655958,6.69673443995444e-16
"forested_rich_fen",0.9,"ISI.mean",0.000830525586026621,0.00025844617154413,0.000311158559560681,0.00134989261249256,0.00232024128201107
"mineral",0.5,"(Intercept)",0.0483816513682033,0.00775777017113051,0.0327918285369596,0.0639714741994471,1.00984659440743e-07
"mineral",0.5,"BUI.mean",-0.000199001108169688,6.23393849026068e-05,-0.000324276792367835,-7.37254239715406e-05,0.00246631469311942
"mineral",0.5,"ISI.mean",-0.000280365199328924,0.000266597564268451,-0.000816113062761774,0.000255382664103925,0.298122619272321
"mineral",0.9,"(Intercept)",0.0484114664439171,0.0415928658671985,-0.035172526844043,0.131995459731877,0.250085866357449
